Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-12-29,35,456,22.68,No,103940,456.0,7,1,12,4,363,0,0,0,0,0,0,572.0,747.0,473.0,488.85714285714283,259.9098744894913,405.889
2013-12-30,29,544,16.09,No,124161,544.0,1,0,12,4,364,0,0,0,0,0,0,456.0,668.0,292.0,447.2857142857143,233.68904858501966,380.23333333333335
2013-12-31,29,428,17.68,No,107762,428.0,2,0,12,4,365,0,0,0,0,0,0,544.0,329.0,292.0,429.57142857142856,218.3673183291995,380.2
2014-01-01,20,251,20.35,No,68144,251.0,3,0,1,1,1,0,0,0,0,0,0,428.0,0.0,394.0,443.7142857142857,213.92889339350978,381.53333333333336
2014-01-02,31,279,18.13,No,102768,279.0,4,0,1,1,2,0,0,0,0,0,0,251.0,669.0,352.0,479.57142857142856,132.82175668021907,383.76666666666665
2014-01-03,34,284,13.3,No,96437,284.0,5,0,1,1,3,0,0,0,0,0,0,279.0,437.0,496.0,423.85714285714283,121.42683472147506,388.43333333333334
2014-01-04,32,348,21.24,No,91232,348.0,6,1,1,1,4,0,0,0,0,0,0,284.0,572.0,719.0,402.0,131.97853360805897,390.96666666666664
2014-01-05,30,219,18.99,No,78289,219.0,7,1,1,1,5,0,0,0,0,0,0,348.0,456.0,747.0,370.0,109.05503197927268,396.43333333333334
2014-01-06,20,154,22.18,No,70490,154.0,1,0,1,1,6,0,0,0,0,0,0,219.0,544.0,668.0,336.14285714285717,114.55628685123754,395.1
2014-01-07,21,149,19.35,No,80779,149.0,2,0,1,1,7,0,0,0,0,0,0,154.0,428.0,329.0,280.42857142857144,88.48890164470254,387.1333333333333
2014-01-08,21,154,19.65,No,64433,154.0,3,0,1,1,8,0,0,0,0,0,0,149.0,251.0,0.0,240.57142857142858,72.29305439864756,379.6333333333333
