Date,Num_Employees,Num_Customers,Pct_On_Sale,TouristEvent,Sales,Num_Customers_Clean,Day_of_Week,Is_Weekend,Month,Quarter,Day_of_Year,Is_Black_Friday,Is_Memorial_Day,Is_Holiday,Holiday_Nearby,Is_Tourist_Event,Event_Nearby,Lag_Customers_1,Lag_Customers_7,Lag_Customers_14,Rolling_Mean_7,Rolling_Std_7,Rolling_Mean_30
2013-10-01,9,51,10.1,No,24099,51.0,2,0,10,4,274,0,0,0,0,0,0,51.0,65.0,70.0,85.85714285714286,33.21861210942093,112.6
2013-10-02,13,63,7.76,No,25816,63.0,3,0,10,4,275,0,0,0,0,0,0,51.0,67.0,65.0,83.85714285714286,35.05437952395534,109.6
2013-10-03,17,79,13.1,No,38226,79.0,4,0,10,4,276,0,0,0,0,0,0,63.0,74.0,70.0,83.28571428571429,35.40581066112459,106.43333333333334
2013-10-04,12,107,10.95,No,34099,107.0,5,0,10,4,277,0,0,0,0,0,0,79.0,98.0,110.0,84.0,35.23729085310961,106.93333333333334
2013-10-05,18,176,12.12,No,45120,176.0,6,1,10,4,278,0,0,0,0,0,0,107.0,151.0,138.0,85.28571428571429,35.989416433697166,108.6
2013-10-06,16,114,10.66,No,29315,114.0,7,1,10,4,279,0,0,0,0,0,0,176.0,95.0,103.0,88.85714285714286,43.956146977901,112.33333333333333
2013-10-07,10,65,10.64,No,26913,65.0,1,0,10,4,280,0,0,0,0,0,0,114.0,51.0,63.0,91.57142857142857,44.973537192653936,113.4
2013-10-08,4,70,9.48,No,31933,70.0,2,0,10,4,281,0,0,0,0,0,0,65.0,51.0,65.0,93.57142857142857,43.14262062376015,111.33333333333333
2013-10-09,14,74,11.26,No,27510,74.0,3,0,10,4,282,0,0,0,0,0,0,70.0,63.0,67.0,96.28571428571429,40.5368732790046,110.53333333333333
2013-10-10,15,90,12.38,No,32048,90.0,4,0,10,4,283,0,0,0,0,0,0,74.0,79.0,74.0,97.85714285714286,39.22341380446345,110.73333333333333
2013-10-11,21,118,13.71,No,31134,118.0,5,0,10,4,284,0,0,0,0,0,1,90.0,107.0,98.0,99.42857142857143,38.5566991276358,111.83333333333333
2013-10-12,35,660,14.07,Yes,80890,659.22,6,1,10,4,285,0,0,0,0,1,1,118.0,176.0,151.0,101.0,39.13651321549547,107.06666666666666
2013-10-13,38,514,10.47,Yes,59886,514.0,7,1,10,4,286,0,0,0,0,1,1,659.22,114.0,95.0,170.03142857142856,216.72455694026092,119.50733333333332
2013-10-14,32,300,10.72,Yes,58521,300.0,1,0,10,4,287,0,0,0,0,1,1,514.0,65.0,51.0,227.17428571428573,249.71147209377094,123.974
2013-10-15,5,69,12.67,No,30680,69.0,2,0,10,4,288,0,0,0,0,0,1,300.0,70.0,51.0,260.7457142857143,239.87799529880078,129.674
2013-10-16,10,74,11.4,No,31164,74.0,3,0,10,4,289,0,0,0,0,0,0,69.0,74.0,63.0,260.60285714285715,240.010785987789,128.4406666666667
2013-10-17,18,67,10.86,No,35764,67.0,4,0,10,4,290,0,0,0,0,0,0,74.0,90.0,79.0,260.60285714285715,240.010785987789,128.10733333333334
2013-10-18,21,92,9.34,No,34554,92.0,5,0,10,4,291,0,0,0,0,0,0,67.0,118.0,107.0,257.31714285714287,242.875902586368,128.00733333333335
2013-10-19,22,140,9.94,No,35158,140.0,6,1,10,4,292,0,0,0,0,0,0,92.0,659.22,176.0,253.60285714285715,245.5456998682925,128.90733333333336
2013-10-20,13,106,9.6,No,31255,106.0,7,1,10,4,293,0,0,0,0,0,0,140.0,514.0,114.0,179.42857142857142,169.1270303084412,131.24066666666667
2013-10-21,10,53,12.88,No,28856,53.0,1,0,10,4,294,0,0,0,0,0,0,106.0,300.0,65.0,121.14285714285714,82.96269959330807,131.10733333333334
2013-10-22,10,55,7.39,No,32513,55.0,2,0,10,4,295,0,0,0,0,0,0,53.0,69.0,70.0,85.85714285714286,29.537707942156267,128.274
2013-10-23,10,71,8.52,No,39750,71.0,3,0,10,4,296,0,0,0,0,0,0,55.0,74.0,74.0,83.85714285714286,31.291258478092352,126.674
2013-10-24,18,73,9.16,No,38173,73.0,4,0,10,4,297,0,0,0,0,0,0,71.0,67.0,90.0,83.42857142857143,31.468805415611875,126.94066666666667
2013-10-25,31,119,14.63,No,35724,119.0,5,0,10,4,298,0,0,0,0,0,0,73.0,92.0,118.0,84.28571428571429,31.025335269282078,127.20733333333334
2013-10-26,18,151,9.76,No,38770,151.0,6,1,10,4,299,0,0,0,0,0,0,119.0,140.0,659.22,88.14285714285714,33.70671827904327,128.9406666666667
2013-10-27,10,108,10.08,No,32151,108.0,7,1,10,4,300,0,0,0,0,0,0,151.0,106.0,514.0,89.71428571428571,36.65475997154206,131.50733333333335
2013-10-28,13,76,10.64,No,33723,76.0,1,0,10,4,301,0,0,0,0,0,0,108.0,53.0,300.0,90.0,36.81032463861102,131.84066666666666
2013-10-29,7,76,7.43,No,33866,76.0,2,0,10,4,302,0,0,0,0,0,0,76.0,55.0,69.0,93.28571428571429,33.8659823702886,129.34066666666666
2013-10-30,12,66,6.9,No,26877,66.0,3,0,10,4,303,0,0,0,0,0,0,76.0,71.0,74.0,96.28571428571429,30.69046695481677,128.70733333333334
2013-10-31,22,50,6.99,No,32300,50.0,4,0,10,4,304,0,0,0,0,0,0,66.0,73.0,67.0,95.57142857142857,31.426406851865607,129.20733333333334
2013-11-01,23,87,10.61,No,43142,87.0,5,0,11,4,305,0,0,0,0,0,0,50.0,119.0,92.0,92.28571428571429,35.16017769064927,129.174
2013-11-02,24,137,12.53,No,50406,137.0,6,1,11,4,306,0,0,0,0,0,0,87.0,151.0,140.0,87.71428571428571,33.12961558140029,129.97400000000002
2013-11-03,23,121,14.33,No,47009,121.0,7,1,11,4,307,0,0,0,0,0,0,137.0,108.0,106.0,85.71428571428571,28.81385248865598,131.90733333333336
2013-11-04,8,57,7.94,No,39517,57.0,1,0,11,4,308,0,0,0,0,0,0,121.0,76.0,53.0,87.57142857142857,30.83751580384375,132.374
2013-11-05,13,69,8.84,No,36168,69.0,2,0,11,4,309,0,0,0,0,0,0,57.0,76.0,55.0,84.85714285714286,32.79953542063445,128.40733333333336
2013-11-06,18,66,10.46,No,36540,66.0,3,0,11,4,310,0,0,0,0,0,0,69.0,66.0,71.0,83.85714285714286,33.21861210942023,126.90733333333334
2013-11-07,18,66,12.6,No,39510,66.0,4,0,11,4,311,0,0,0,0,0,0,66.0,50.0,73.0,83.85714285714286,33.21861210942023,126.94066666666667
2013-11-08,15,116,7.69,No,44592,116.0,5,0,11,4,312,0,0,0,0,0,1,66.0,87.0,119.0,86.14285714285714,30.975412676445842,126.80733333333335
2013-11-09,40,670,9.51,Yes,85350,659.22,6,1,11,4,313,0,0,0,0,1,1,116.0,137.0,151.0,90.28571428571429,32.98340130891137,128.20733333333334
2013-11-10,55,513,14.37,Yes,86667,513.0,7,1,11,4,314,0,0,0,0,1,1,659.22,121.0,108.0,164.88857142857142,219.49651534277038,147.18133333333336
2013-11-11,32,463,13.41,Yes,54125,463.0,1,0,11,4,315,0,0,0,0,1,1,513.0,57.0,76.0,220.88857142857142,253.7635649857673,160.348
2013-11-12,15,72,12.43,No,47347,72.0,2,0,11,4,316,0,0,0,0,0,1,463.0,69.0,76.0,278.8885714285714,256.44562824820997,153.80733333333333
2013-11-13,11,68,8.16,No,45341,68.0,3,0,11,4,317,0,0,0,0,0,0,72.0,66.0,66.0,279.31714285714287,256.03858574534473,139.074
